recording_id,subject,label,url,start_seconds,window_s,status,error,n_channels,sfreq,n_samples,alpha_peak_hz_wide,prominence
SC4012E0-PSG@W,SC4012E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4012E0-PSG.edf,68295.000,120.0,ok,,2,100,12000,,
SC4021E0-PSG@N1,SC4021E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4021E0-PSG.edf,22200.000,120.0,ok,,2,100,12000,12,1.549314024
SC4021E0-PSG@N2,SC4021E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4021E0-PSG.edf,37455.000,120.0,ok,,2,100,12000,14.25,5.282552296
SC4021E0-PSG@N3,SC4021E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4021E0-PSG.edf,28305.000,120.0,ok,,2,100,12000,13.75,4.209908165
SC4021E0-PSG@REM,SC4021E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4021E0-PSG.edf,45705.000,120.0,ok,,2,100,12000,10.25,2.197277515
SC4021E0-PSG@W,SC4021E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4021E0-PSG.edf,66510.000,120.0,ok,,2,100,12000,10.5,1.473273538
SC4022E0-PSG@N1,SC4022E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4022E0-PSG.edf,23145.000,120.0,ok,,2,100,12000,13,1.785083162
SC4022E0-PSG@N2,SC4022E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4022E0-PSG.edf,36345.000,120.0,ok,,2,100,12000,14.25,10.23457876
SC4022E0-PSG@N3,SC4022E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4022E0-PSG.edf,35325.000,120.0,ok,,2,100,12000,14.25,2.496870965
SC4022E0-PSG@REM,SC4022E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4022E0-PSG.edf,32325.000,120.0,ok,,2,100,12000,,
SC4022E0-PSG@W,SC4022E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4022E0-PSG.edf,65985.000,120.0,ok,,2,100,12000,,
SC4031E0-PSG@N1,SC4031E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4031E0-PSG.edf,26280.000,120.0,ok,,2,100,12000,10.5,3.039099431
SC4031E0-PSG@N2,SC4031E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4031E0-PSG.edf,47475.000,120.0,ok,,2,100,12000,14,10.72233832
SC4031E0-PSG@N3,SC4031E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4031E0-PSG.edf,27945.000,120.0,ok,,2,100,12000,13.5,3.176026759
SC4031E0-PSG@REM,SC4031E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4031E0-PSG.edf,40200.000,120.0,ok,,2,100,12000,9.5,2.970680947
SC4031E0-PSG@W,SC4031E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4031E0-PSG.edf,67785.000,120.0,ok,,2,100,12000,10.75,2.001649177
SC4032E0-PSG@N1,SC4032E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4032E0-PSG.edf,27705.000,120.0,ok,,2,100,12000,10.5,3.072569313
SC4032E0-PSG@N2,SC4032E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4032E0-PSG.edf,46290.000,120.0,ok,,2,100,12000,13.75,5.777799116
SC4032E0-PSG@N3,SC4032E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4032E0-PSG.edf,29610.000,120.0,ok,,2,100,12000,14,4.89132403
SC4032E0-PSG@REM,SC4032E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4032E0-PSG.edf,38760.000,120.0,ok,,2,100,12000,9.25,1.591328038
SC4032E0-PSG@W,SC4032E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4032E0-PSG.edf,66600.000,120.0,ok,,2,100,12000,5.75,1.482155857
SC4041E0-PSG@N1,SC4041E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4041E0-PSG.edf,24975.000,120.0,ok,,2,100,12000,7,1.723668019
SC4041E0-PSG@N2,SC4041E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4041E0-PSG.edf,43035.000,120.0,ok,,2,100,12000,14,3.786431179
SC4041E0-PSG@N3,SC4041E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4041E0-PSG.edf,30690.000,120.0,ok,,2,100,12000,11.25,1.441255223
SC4041E0-PSG@REM,SC4041E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4041E0-PSG.edf,57180.000,120.0,ok,,2,100,12000,9.5,1.004957308
SC4041E0-PSG@W,SC4041E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4041E0-PSG.edf,12120.000,120.0,ok,,2,100,12000,,
SC4042E0-PSG@N1,SC4042E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4042E0-PSG.edf,32910.000,120.0,ok,,2,100,12000,,
SC4042E0-PSG@N2,SC4042E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4042E0-PSG.edf,46965.000,120.0,ok,,2,100,12000,13.5,3.056713617
SC4042E0-PSG@N3,SC4042E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4042E0-PSG.edf,42180.000,120.0,ok,,2,100,12000,14,1.266615551
SC4042E0-PSG@REM,SC4042E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4042E0-PSG.edf,51450.000,120.0,ok,,2,100,12000,8.75,1.122081519
SC4042E0-PSG@W,SC4042E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4042E0-PSG.edf,16050.000,120.0,ok,,2,100,12000,5.25,4.000131173
SC4051E0-PSG@N1,SC4051E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4051E0-PSG.edf,47595.000,120.0,ok,,2,100,12000,8.75,3.318860401
SC4051E0-PSG@N2,SC4051E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4051E0-PSG.edf,48750.000,120.0,ok,,2,100,12000,14,4.05878481
SC4051E0-PSG@N3,SC4051E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4051E0-PSG.edf,42000.000,120.0,ok,,2,100,12000,13.5,2.281851381
SC4051E0-PSG@REM,SC4051E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4051E0-PSG.edf,44295.000,120.0,ok,,2,100,12000,8.25,3.314948258
SC4051E0-PSG@W,SC4051E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4051E0-PSG.edf,19275.000,120.0,ok,,2,100,12000,5.25,6.118517189
SC4052E0-PSG@N1,SC4052E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4052E0-PSG.edf,58620.000,120.0,ok,,2,100,12000,9,2.877095921
SC4052E0-PSG@N2,SC4052E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4052E0-PSG.edf,60180.000,120.0,ok,,2,100,12000,14,3.011139369
SC4052E0-PSG@N3,SC4052E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4052E0-PSG.edf,39060.000,120.0,ok,,2,100,12000,13.5,3.351143983
SC4052E0-PSG@REM,SC4052E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4052E0-PSG.edf,36390.000,120.0,ok,,2,100,12000,8,2.497236894
SC4052E0-PSG@W,SC4052E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4052E0-PSG.edf,16155.000,120.0,ok,,2,100,12000,,
SC4061E0-PSG@N1,SC4061E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4061E0-PSG.edf,29805.000,120.0,ok,,2,100,12000,9.5,2.850845376
SC4061E0-PSG@N2,SC4061E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4061E0-PSG.edf,43710.000,120.0,ok,,2,100,12000,14,3.219029589
SC4061E0-PSG@N3,SC4061E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4061E0-PSG.edf,38130.000,120.0,ok,,2,100,12000,14.25,2.342664415
SC4061E0-PSG@REM,SC4061E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4061E0-PSG.edf,46350.000,120.0,ok,,2,100,12000,5.5,1.171262084
SC4061E0-PSG@W,SC4061E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4061E0-PSG.edf,66360.000,120.0,ok,,2,100,12000,,
SC4062E0-PSG@N1,SC4062E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4062E0-PSG.edf,48315.000,120.0,ok,,2,100,12000,9.75,3.720325287
SC4062E0-PSG@N2,SC4062E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4062E0-PSG.edf,35415.000,120.0,ok,,2,100,12000,13.75,4.718544723
SC4062E0-PSG@N3,SC4062E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4062E0-PSG.edf,28665.000,120.0,ok,,2,100,12000,13.5,2.53903735
SC4062E0-PSG@REM,SC4062E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4062E0-PSG.edf,51090.000,120.0,ok,,2,100,12000,10,1.552346566
SC4062E0-PSG@W,SC4062E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4062E0-PSG.edf,68535.000,120.0,ok,,2,100,12000,13,3.303067238
SC4071E0-PSG@N1,SC4071E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4071E0-PSG.edf,28260.000,120.0,ok,,2,100,12000,10.75,2.155260525
SC4071E0-PSG@N2,SC4071E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4071E0-PSG.edf,38415.000,120.0,ok,,2,100,12000,14,5.163308138
SC4071E0-PSG@N3,SC4071E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4071E0-PSG.edf,35100.000,120.0,ok,,2,100,12000,13.75,3.621381591
SC4071E0-PSG@REM,SC4071E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4071E0-PSG.edf,37020.000,120.0,ok,,2,100,12000,9.5,3.312483347
SC4071E0-PSG@W,SC4071E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4071E0-PSG.edf,68925.000,120.0,ok,,2,100,12000,12.5,1.067189163
SC4072E0-PSG@N1,SC4072E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4072E0-PSG.edf,27765.000,120.0,ok,,2,100,12000,10.75,7.071872499
SC4072E0-PSG@N2,SC4072E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4072E0-PSG.edf,46425.000,120.0,ok,,2,100,12000,14.25,3.119739896
SC4072E0-PSG@N3,SC4072E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4072E0-PSG.edf,29925.000,120.0,ok,,2,100,12000,13.75,3.123606047
SC4072E0-PSG@REM,SC4072E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4072E0-PSG.edf,31080.000,120.0,ok,,2,100,12000,10,4.875942627
SC4072E0-PSG@W,SC4072E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4072E0-PSG.edf,68385.000,120.0,ok,,2,100,12000,5.25,1.316236988
SC4081E0-PSG@N1,SC4081E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4081E0-PSG.edf,30450.000,120.0,ok,,2,100,12000,10,2.985781409
SC4081E0-PSG@N2,SC4081E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4081E0-PSG.edf,52395.000,120.0,ok,,2,100,12000,14.5,4.415666785
SC4081E0-PSG@N3,SC4081E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4081E0-PSG.edf,32205.000,120.0,ok,,2,100,12000,13,1.515651522
SC4081E0-PSG@REM,SC4081E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4081E0-PSG.edf,38445.000,120.0,ok,,2,100,12000,9,4.281935636
SC4081E0-PSG@W,SC4081E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4081E0-PSG.edf,69135.000,120.0,ok,,2,100,12000,9.5,2.830158574
SC4082E0-PSG@N1,SC4082E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4082E0-PSG.edf,29910.000,120.0,ok,,2,100,12000,9,3.201169911
SC4082E0-PSG@N2,SC4082E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4082E0-PSG.edf,42915.000,120.0,ok,,2,100,12000,13.5,3.41831767
SC4082E0-PSG@N3,SC4082E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4082E0-PSG.edf,38655.000,120.0,ok,,2,100,12000,13.5,2.929646722
SC4082E0-PSG@REM,SC4082E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4082E0-PSG.edf,34815.000,120.0,ok,,2,100,12000,11,2.1793491
SC4082E0-PSG@W,SC4082E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4082E0-PSG.edf,66135.000,120.0,ok,,2,100,12000,,
SC4091E0-PSG@N1,SC4091E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4091E0-PSG.edf,24165.000,120.0,ok,,2,100,12000,6.25,1.649251702
SC4091E0-PSG@N2,SC4091E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4091E0-PSG.edf,36660.000,120.0,ok,,2,100,12000,14,7.888874348
SC4091E0-PSG@N3,SC4091E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4091E0-PSG.edf,30765.000,120.0,ok,,2,100,12000,14,5.5148763
SC4091E0-PSG@REM,SC4091E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4091E0-PSG.edf,32310.000,120.0,ok,,2,100,12000,8.5,2.505111952
SC4091E0-PSG@W,SC4091E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4091E0-PSG.edf,68340.000,120.0,ok,,2,100,12000,5.25,1.836631611
SC4092E0-PSG@N1,SC4092E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4092E0-PSG.edf,27120.000,120.0,ok,,2,100,12000,10,2.240502001
SC4092E0-PSG@N2,SC4092E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4092E0-PSG.edf,47025.000,120.0,ok,,2,100,12000,14,6.127407984
SC4092E0-PSG@N3,SC4092E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4092E0-PSG.edf,33720.000,120.0,ok,,2,100,12000,14,4.370613759
SC4092E0-PSG@REM,SC4092E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4092E0-PSG.edf,35805.000,120.0,ok,,2,100,12000,9,1.907922916
SC4092E0-PSG@W,SC4092E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4092E0-PSG.edf,13395.000,120.0,ok,,2,100,12000,,
SC4102E0-PSG@N1,SC4102E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4102E0-PSG.edf,26820.000,120.0,ok,,2,100,12000,11.75,2.232033405
SC4102E0-PSG@N2,SC4102E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4102E0-PSG.edf,36045.000,120.0,ok,,2,100,12000,13.75,2.659113216
SC4102E0-PSG@N3,SC4102E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4102E0-PSG.edf,34875.000,120.0,ok,,2,100,12000,14,4.646740312
SC4102E0-PSG@REM,SC4102E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4102E0-PSG.edf,31125.000,120.0,ok,,2,100,12000,,
SC4102E0-PSG@W,SC4102E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4102E0-PSG.edf,70605.000,120.0,ok,,2,100,12000,,
SC4111E0-PSG@N1,SC4111E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4111E0-PSG.edf,28200.000,120.0,ok,,2,100,12000,7.75,2.106256946
SC4111E0-PSG@N2,SC4111E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4111E0-PSG.edf,46245.000,120.0,ok,,2,100,12000,8,1.671814463
SC4111E0-PSG@N3,SC4111E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4111E0-PSG.edf,32655.000,120.0,ok,,2,100,12000,13.75,2.986137749
SC4111E0-PSG@REM,SC4111E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4111E0-PSG.edf,40485.000,120.0,ok,,2,100,12000,9,1.601495612
SC4111E0-PSG@W,SC4111E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4111E0-PSG.edf,13965.000,120.0,ok,,2,100,12000,5.25,2.289576247
SC4112E0-PSG@N1,SC4112E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4112E0-PSG.edf,35865.000,120.0,ok,,2,100,12000,8,1.18741957
SC4112E0-PSG@N2,SC4112E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4112E0-PSG.edf,52455.000,120.0,ok,,2,100,12000,13.5,4.779874473
SC4112E0-PSG@N3,SC4112E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4112E0-PSG.edf,45645.000,120.0,ok,,2,100,12000,11,2.663330851
SC4112E0-PSG@REM,SC4112E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4112E0-PSG.edf,49695.000,120.0,ok,,2,100,12000,7,1.793142455
SC4112E0-PSG@W,SC4112E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4112E0-PSG.edf,17865.000,120.0,ok,,2,100,12000,5.25,4.380385915
SC4121E0-PSG@N1,SC4121E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4121E0-PSG.edf,55305.000,120.0,ok,,2,100,12000,7.25,1.339708227
SC4121E0-PSG@N2,SC4121E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4121E0-PSG.edf,37410.000,120.0,ok,,2,100,12000,10,2.167319777
SC4121E0-PSG@N3,SC4121E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4121E0-PSG.edf,30660.000,120.0,ok,,2,100,12000,14.5,2.899758067
SC4121E0-PSG@REM,SC4121E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4121E0-PSG.edf,51585.000,120.0,ok,,2,100,12000,8.25,1.561894904
SC4121E0-PSG@W,SC4121E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4121E0-PSG.edf,14370.000,120.0,ok,,2,100,12000,5.75,2.704095809
SC4122E0-PSG@N1,SC4122E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4122E0-PSG.edf,33525.000,120.0,ok,,2,100,12000,6,2.402247455
SC4122E0-PSG@N2,SC4122E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4122E0-PSG.edf,50955.000,120.0,ok,,2,100,12000,13.25,6.776440503
SC4122E0-PSG@N3,SC4122E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4122E0-PSG.edf,49515.000,120.0,ok,,2,100,12000,13.75,1.441564939
SC4122E0-PSG@REM,SC4122E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4122E0-PSG.edf,45330.000,120.0,ok,,2,100,12000,8,1.463374128
SC4122E0-PSG@W,SC4122E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4122E0-PSG.edf,16650.000,120.0,ok,,2,100,12000,,
SC4131E0-PSG@N1,SC4131E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4131E0-PSG.edf,29145.000,120.0,ok,,2,100,12000,,
SC4131E0-PSG@N2,SC4131E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4131E0-PSG.edf,53025.000,120.0,ok,,2,100,12000,14.25,3.156125237
SC4131E0-PSG@N3,SC4131E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4131E0-PSG.edf,35715.000,120.0,ok,,2,100,12000,13.75,2.292572121
SC4131E0-PSG@REM,SC4131E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4131E0-PSG.edf,38910.000,120.0,ok,,2,100,12000,,
SC4131E0-PSG@W,SC4131E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4131E0-PSG.edf,14370.000,120.0,ok,,2,100,12000,5.5,3.202740403
SC4141E0-PSG@N1,SC4141E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4141E0-PSG.edf,25500.000,120.0,ok,,2,100,12000,13.5,3.981484412
SC4141E0-PSG@N2,SC4141E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4141E0-PSG.edf,44865.000,120.0,ok,,2,100,12000,12.75,3.756767012
SC4141E0-PSG@N3,SC4141E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4141E0-PSG.edf,27540.000,120.0,ok,,2,100,12000,13,2.852322186
SC4141E0-PSG@REM,SC4141E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4141E0-PSG.edf,35715.000,120.0,ok,,2,100,12000,9,1.822705824
SC4141E0-PSG@W,SC4141E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4141E0-PSG.edf,67110.000,120.0,ok,,2,100,12000,6.5,1.420518547
SC4151E0-PSG@N1,SC4151E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4151E0-PSG.edf,51660.000,120.0,ok,,2,100,12000,8.5,1.295647036
